Record Date,Security Type Description,Security Class Description,Securities Sold Count
2014-09-30,Savings Bond,I,46740
2014-09-30,Marketable,Bill,3994
2014-09-30,Marketable,Bond,212
2014-09-30,Marketable,Note,3583
2014-08-31,Savings Bond,EE,26770
2014-08-31,Savings Bond,I,44929
2014-08-31,Marketable,Bill,4047
2014-08-31,Marketable,Bond,362
2014-08-31,Marketable,Note,1487
2014-07-31,Savings Bond,EE,26843
2014-07-31,Savings Bond,I,48490
2014-07-31,Marketable,Bill,4880
2014-07-31,Marketable,Bond,231
2014-07-31,Marketable,Note,2677
2014-06-30,Savings Bond,EE,29313
2014-06-30,Savings Bond,I,46461
2014-06-30,Marketable,Bill,3948
2014-06-30,Marketable,Bond,398
2014-06-30,Marketable,Note,3422
2014-05-31,Savings Bond,EE,28115
2014-05-31,Savings Bond,I,50995
2014-05-31,Marketable,Bill,5419
2014-05-31,Marketable,Bond,364
2014-05-31,Marketable,Note,1459
2014-04-30,Savings Bond,EE,28530
2014-04-30,Savings Bond,I,47094
2014-04-30,Marketable,Bill,4215
2014-04-30,Marketable,Bond,250
2014-04-30,Marketable,Note,2984
2014-03-31,Savings Bond,EE,28621
2014-03-31,Savings Bond,I,48643
2014-03-31,Marketable,Bill,4504
2014-03-31,Marketable,Bond,321
2014-03-31,Marketable,Note,2563
2014-02-28,Savings Bond,EE,27906
2014-02-28,Savings Bond,I,46727
2014-02-28,Marketable,Bill,4896
2014-02-28,Marketable,Bond,633
2014-02-28,Marketable,Note,2757
2014-01-31,Savings Bond,EE,36071
2014-01-31,Savings Bond,I,60045
2014-01-31,Marketable,Bill,5682
2014-01-31,Marketable,Bond,262
2014-01-31,Marketable,Note,3185
2013-12-31,Savings Bond,EE,72043
2013-12-31,Savings Bond,I,75270
2013-12-31,Marketable,Bill,4388
2013-12-31,Marketable,Bond,286
2013-12-31,Marketable,Note,2701
2013-12-31,Marketable,TIPS,348
2013-11-30,Savings Bond,EE,32725
2013-11-30,Savings Bond,I,50967
2013-11-30,Marketable,Bill,4728
2013-11-30,Marketable,Bond,390
2013-11-30,Marketable,Note,904
2013-11-30,Marketable,TIPS,327
2013-10-31,Savings Bond,EE,29526
2013-10-31,Savings Bond,I,45944
2013-10-31,Marketable,Bill,5332
2013-10-31,Marketable,Bond,221
2013-10-31,Marketable,Note,1623
2013-10-31,Marketable,TIPS,140
2013-09-30,Savings Bond,EE,29575
2013-09-30,Savings Bond,I,46059
2013-09-30,Marketable,Bill,4602
2013-09-30,Marketable,Bond,320
2013-09-30,Marketable,Note,3475
2013-09-30,Marketable,TIPS,365
2013-08-31,Savings Bond,EE,30350
2013-08-31,Savings Bond,I,47758
2013-08-31,Marketable,Bill,6047
2013-08-31,Marketable,Bond,365
2013-08-31,Marketable,Note,924
2013-08-31,Marketable,TIPS,538
2013-07-31,Savings Bond,EE,32081
2013-07-31,Savings Bond,I,49238
2013-07-31,Marketable,Bill,4997
2013-07-31,Marketable,Bond,193
